Phrase	NPQ	IDF	PMI	CMI
的 	 41.68823268965298 	 -0.0317486983145803 	 1000 	 -5.7721779708801835
和 	 28.96168452632528 	 -0.0317486983145803 	 1000 	 -4.372211562636263
在 	 25.76872298712198 	 -0.0317486983145803 	 1000 	 -4.511685829035063
是 	 14.970405423034157 	 -0.0317486983145803 	 1000 	 -4.121496645714889
中 	 14.367575791453765 	 -0.0317486983145803 	 1000 	 -2.5329179411316947
了 	 13.854935386703584 	 -0.0317486983145803 	 1000 	 -4.430390025864924
为 	 13.647500723970529 	 -0.0317486983145803 	 1000 	 -3.0117524662189856
对 	 13.612368660109084 	 -0.0317486983145803 	 1000 	 -4.275694650860734
等 	 13.39092549682649 	 -0.0317486983145803 	 1000 	 -5.016456149794133
与 	 12.879582632967184 	 -0.0317486983145803 	 1000 	 -3.7472901823136398
美国股票交易所市场价格指数和代表小公司的罗素2000指数均告 	 12.763535082429033 	 0.7949298748698876 	 7.152869326339315 	 -1000
将 	 11.855990659203618 	 -0.0317486983145803 	 1000 	 -4.5592728177567805
说 	 11.605303094048908 	 -0.0317486983145803 	 1000 	 -3.929688652453578
1 	 11.315124763917431 	 -0.0317486983145803 	 1000 	 -1.5594966065888485
以 	 11.15352470355043 	 -0.0317486983145803 	 1000 	 -2.6137722589629884
2 	 10.531553005294812 	 -0.0317486983145803 	 1000 	 -3.0935706336359856
上 	 10.358550829400178 	 -0.0317486983145803 	 1000 	 -3.034284561966065
并 	 10.273039519095946 	 -0.0317486983145803 	 1000 	 -5.2442511072654465
后 	 9.891831037479031 	 -0.0317486983145803 	 1000 	 -4.077370534778788
从 	 9.751834538459768 	 -0.0317486983145803 	 1000 	 -4.6905234371131455
巴勒斯坦民族权力机构主席阿拉法特 	 9.573795291612837 	 0.13815033848081718 	 7.187358321157973 	 -9.12108356680762
3 	 9.496184205118393 	 -0.0317486983145803 	 1000 	 -4.332302656544362
也 	 9.20969614005353 	 -0.0317486983145803 	 1000 	 -5.272603929325478
到 	 9.14891729512476 	 -0.0317486983145803 	 1000 	 -3.844511594599274
有 	 9.075134163236958 	 -0.0317486983145803 	 1000 	 -2.7398167319651585
他 	 8.878979819054946 	 -0.0317486983145803 	 1000 	 -2.1762669730259456
一 	 8.79387993575835 	 -0.0317486983145803 	 1000 	 -3.588466905059324
大 	 8.77837754246783 	 -0.0317486983145803 	 1000 	 -3.624753202963139
