Date  20001101
Article  0  : ('伦敦外汇市场行情新华社伦敦', 1.0)('10月31日电', 1.0)
Article  1  : ('国', 1.0)('际市场贱金属价格新华社伦敦', 1.0)('10月31日电', 1.0)
Article  2  : ('0', 1.1782880274782987)('1', 1.1088626544210416)('走', 1.0000000000000004)('和', 1.0000000000000004)
Article  3  : ('再', 1.0000000000000004)('持', 1.0000000000000004)('最近', 1.0000000000000002)('制', 1.0000000000000002)
Article  4  : ('不', 1.086928026629407)('国', 1.0395733682497834)('主', 1.000000000000002)('鲁迪', 1.0000000000000004)
Article  5  : ('队', 1.0913222924877257)('每', 1.0798065019744576)('的', 1.0000000000000027)('级', 1.0000000000000007)
Article  6  : ('的', 1.0000000000000009)('意大利', 1.0000000000000007)('埃里克森', 1.0000000000000004)('拉齐奥队', 1.0000000000000004)
Article  7  : ('我', 1.0000000000000004)('他', 1.0000000000000004)('界', 1.0000000000000002)('新', 1.0000000000000002)
Article  8  : ('1', 1.0000000000000002)('人民币市场汇价新华社北京11月', 1.0)('日', 1.0)('电', 1.0)
Article  9  : ('国', 1.1290153867607782)('了', 1.1056176959780086)('第二', 1.0000000000000004)('参观', 1.0000000000000002)
Article  10  : ('0', 1.3337683367417865)('驾驶', 1.0623219634359273)('家', 1.0000000000000004)('上', 1.0000000000000004)
Article  11  : ('坦桑尼亚', 1.0000000000000009)('国', 1.0000000000000007)('总', 1.0000000000000002)('统', 1.0000000000000002)
Article  12  : ('猜', 1.354271507263184)('元', 1.3147056972754165)('斗', 1.259182510742006)('国', 1.0000000000000004)
Article  13  : ('在', 1.0000000000000004)('开', 1.0000000000000004)('项', 1.0000000000000004)('花', 1.0000000000000002)
Article  14  : ('4', 1.349359333140478)('3', 1.0000000000000009)('的', 1.0000000000000009)('选手', 1.0000000000000004)
Article  15  : ('国', 1.0000000000000004)('董事', 1.0000000000000004)('过', 1.0000000000000004)('发生', 1.0000000000000002)
Article  16  : ('狮', 1.0225801624245099)('和', 1.0000000000000004)('行', 1.0000000000000004)('南', 1.0000000000000002)
Article  17  : ('石荷州', 1.0000000000000004)('发', 1.0000000000000002)('浙江', 1.0000000000000002)('报', 1.0000000000000002)
Article  18  : ('0', 1.4216928381118856)('计', 1.1983743331406145)('生', 1.1443525295232542)('室', 1.1359901288853576)
Article  19  : ('西藏', 1.0000000000000007)('提', 1.0000000000000007)('社', 1.0000000000000004)('期', 1.0000000000000002)
Article  20  : ('国', 1.3505884387801554)('发', 1.0259959342706462)('复旦大学', 1.0000000000000007)('海', 1.0000000000000004)
Article  21  : ('0', 1.128284887641397)('大', 1.0000000000000004)('时', 1.0000000000000004)('连', 1.0000000000000002)
Article  22  : ('的', 1.0000000000000004)('来访的', 1.0000000000000002)('米', 1.0000000000000002)('两国间的', 1.0000000000000002)
Article  23  : ('9', 1.335578290143802)('有', 1.1917949002606443)('商家', 1.0807901711236272)('0', 1.0758999487308076)
Article  24  : ('1', 1.1198681038911185)('早', 1.0719341496091883)('波兰', 1.0000000000000004)('而', 1.0000000000000004)
Article  25  : ('会', 1.0000000000000007)('是', 1.0000000000000004)('赛', 1.0000000000000002)('说', 1.0000000000000002)
Article  26  : ('广', 1.178566630361607)('动', 1.054594126915016)('的', 1.0000000000000033)('会', 1.000000000000001)
Article  27  : ('0', 1.651027464429253)('船', 1.0000000000000002)('号', 1.0000000000000002)('的', 1.0000000000000002)
Article  28  : ('敢', 1.2759371626618154)('打', 1.1871711769625168)('赛', 1.0000000000000004)('一', 1.0000000000000004)
Article  29  : ('埃里克森', 1.0000000000000004)('英格兰', 1.0000000000000004)('非常', 1.0000000000000004)('缺乏', 1.0000000000000002)
Article  30  : ('1', 1.1856216173508196)('4', 1.1508851790933623)('或', 1.1334375392307654)('已', 1.0000000000000009)
Article  31  : ('香港', 1.0000000000000004)('经济', 1.0000000000000004)('再', 1.0000000000000002)('次', 1.0000000000000002)
Article  32  : ('1', 2.0544003067718695)('月', 1.0)('日20时至11月', 0.9999999999999998)('2', 0.9999999999999998)
Article  33  : ('片', 1.2661266776598181)('如', 1.1695159349719706)('1', 1.1141105481848668)('青', 1.1086029606494798)
Article  34  : ('民', 1.0000000000000007)('南宁市', 1.0000000000000007)('亮', 1.0000000000000004)('宁', 1.0000000000000002)
Article  35  : ('业', 1.09782971237726)('类', 1.0000000000000007)('农', 1.0000000000000004)('污染', 1.0000000000000004)
Article  36  : ('业', 1.0000000000000018)('农', 1.000000000000001)('举办', 1.0000000000000002)('脑', 1.0000000000000002)
Article  37  : ('开', 1.0000000000000004)('的', 1.0000000000000004)('和在', 1.0000000000000002)('说', 1.0000000000000002)
Article  38  : ('跨', 1.1039808601758334)('6', 1.0000000000000002)('祖', 1.0000000000000002)('中', 1.0000000000000002)
